country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,haryana,Faridabad,"Sector 30, Faridabad - HSPCB",2026-03-03 15:00:00,28.4417,77.3217,co,20.0,65.0,56.0
India,haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",2026-03-03 15:00:00,29.503664,75.467934,pm10,17.0,54.0,31.0
India,haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",2026-03-03 15:00:00,29.503664,75.467934,nh3,13.0,15.0,14.0
India,haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",2026-03-03 15:00:00,29.503664,75.467934,co,25.0,33.0,27.0
India,haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",2026-03-03 15:00:00,29.503664,75.467934,o3,57.0,81.0,71.0
India,haryana,Karnal,"Sector-12, Karnal - HSPCB",2026-03-03 15:00:00,29.6953,77.0027,no2,6.0,7.0,6.0
India,haryana,Karnal,"Sector-12, Karnal - HSPCB",2026-03-03 15:00:00,29.6953,77.0027,co,1.0,4.0,2.0
India,haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",2026-03-03 15:00:00,29.966942,76.875879,co,23.0,38.0,30.0
India,haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",2026-03-03 15:00:00,29.966942,76.875879,o3,20.0,65.0,44.0
India,haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",2026-03-03 15:00:00,27.9002,76.9938,pm2.5,25.0,84.0,52.0
India,haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",2026-03-03 15:00:00,27.9002,76.9938,pm10,28.0,94.0,58.0
India,haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",2026-03-03 15:00:00,27.9002,76.9938,so2,31.0,37.0,34.0
India,haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",2026-03-03 15:00:00,27.9002,76.9938,o3,22.0,30.0,28.0
India,haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",2026-03-03 15:00:00,28.360699,76.93609,pm10,98.0,137.0,118.0
